zdish_id,name,cuisine,ingredients,ingredient_count,cooking_time,difficulty,rating,calories,servings,spicy,sweet,sour,salty,umami,fresh,creamy,smoky,diet_type,meal_type,region,description
32,Bhindi Masala,Indian,"okra, onions, tomatoes, ginger, garlic, cumin, coriander, turmeric, amchur",9,25,Easy,4.2,200,4,2,1,2,2,2,3,1,1,Vegetarian,Lunch,Pan-Indian,Stir-fried okra with a blend of aromatic spices
33,Baingan Bharta,Indian,"eggplant, onions, tomatoes, ginger, garlic, green chilies, coriander, turmeric, cumin",9,45,Medium,4.4,280,4,2,1,1,2,3,3,1,4,Vegetarian,Dinner,Punjab,Smoky roasted eggplant mash with spiced tomato and onion gravy
34,Papdi Chaat,Indian,"flour, yogurt, potatoes, chickpeas, tamarind, mint, coriander, spices",8,20,Easy,4.6,250,4,2,3,3,3,2,4,1,1,Vegetarian,Snack,North India,"Crispy fried dough wafers topped with potatoes, chickpeas, and chutneys"
35,Pav Bhaji,Indian,"potatoes, tomatoes, peas, cauliflower, onions, butter, pav bhaji masala, lemon",8,45,Medium,4.5,480,4,3,1,2,3,3,2,2,1,Vegetarian,Dinner,Maharashtra,A spicy vegetable mash served with soft buttered buns
36,Shahi Paneer,Indian,"paneer, cream, yogurt, onions, tomatoes, ginger, garlic, cashews, spices",9,40,Medium,4.6,410,4,1,2,1,2,4,2,5,0,Vegetarian,Dinner,North India,Royal and creamy curry with soft cottage cheese and a rich gravy
37,Chicken Chettinad,Indian,"chicken, onions, tomatoes, coconut, red chilies, fennel, star anise, cinnamon",8,45,Hard,4.7,450,4,5,1,2,2,4,2,2,1,Non-Vegetarian,Dinner,Tamil Nadu,A fiery and aromatic chicken curry from the Chettinad region
38,Chicken 65,Indian,"chicken, yogurt, ginger, garlic, red chilies, curry leaves, rice flour, spices",8,30,Medium,4.6,380,4,4,1,2,2,3,2,2,0,Non-Vegetarian,Appetizer,South India,"Spicy, deep-fried chicken appetizer with a vibrant red color"
39,Dahi Bhalla,Indian,"black gram, yogurt, tamarind chutney, mint chutney, spices",5,120,Medium,4.5,220,4,1,3,3,2,2,4,4,0,Vegetarian,Snack,North India,Soft lentil fritters soaked in creamy yogurt and topped with chutneys
40,Gobi Manchurian,Indian,"cauliflower, flour, cornstarch, soy sauce, garlic, ginger, green chilies, onions, vinegar",9,30,Medium,4.3,350,4,2,2,2,2,2,2,1,1,Vegetarian,Appetizer,Indian-Chinese,"Fried cauliflower florets in a spicy, tangy, and sweet sauce"
41,Chicken Manchurian,Indian,"chicken, flour, cornstarch, soy sauce, garlic, ginger, green chilies, onions, vinegar",9,30,Medium,4.4,400,4,2,2,2,2,2,2,1,1,Non-Vegetarian,Appetizer,Indian-Chinese,"Fried chicken pieces in a spicy, tangy, and sweet sauce"
42,Pulao,Indian,"basmati rice, vegetables, onions, ginger, garlic, cumin, cardamom, cinnamon, bay leaves",9,30,Easy,4.3,300,4,1,0,0,2,2,3,1,1,Vegetarian,Lunch,Pan-Indian,A flavorful rice dish cooked with vegetables and aromatic spices
43,Aloo Paratha,Indian,"flour, potatoes, onions, ginger, green chilies, coriander, spices, butter",8,20,Easy,4.5,380,2,2,1,1,2,3,2,1,1,Vegetarian,Breakfast,North India,A flatbread stuffed with a spiced potato mixture
44,Naan,Indian,"all-purpose flour, yogurt, yeast, sugar, salt, butter",6,15,Easy,4.7,250,2,0,0,0,1,2,2,1,3,Vegetarian,Side Dish,North India,"A soft, leavened flatbread typically baked in a tandoor"
45,Pesarattu,Indian,"green gram, ginger, green chilies, cumin, onions",5,120,Easy,4.2,180,2,1,0,0,1,2,3,1,0,Vegetarian,Breakfast,Andhra Pradesh,A savory crepe made from green gram batter
46,Thali,Indian,various,varies,60,Medium,4.8,600,1,2,2,2,2,3,4,2,2,Vegetarian/Non-Vegetarian,Lunch/Dinner,Pan-Indian,"A complete meal platter with a variety of dishes, including curries, bread, rice, and dessert"
47,Dosa,Indian,"rice, black gram, fenugreek seeds",3,120,Hard,4.7,220,2,1,0,1,1,2,3,1,0,Vegetarian,Breakfast,South India,"A thin, crispy, and savory crepe made from fermented batter"
48,Uttapam,Indian,"rice, black gram, onions, tomatoes, green chilies, coriander",6,120,Medium,4.4,250,2,1,0,1,1,2,3,1,0,Vegetarian,Breakfast,South India,A thick pancake-like dish made from fermented batter with vegetable toppings
49,Sambhar,Indian,"lentils, tamarind, drumsticks, onions, tomatoes, sambar powder",6,45,Medium,4.6,180,4,2,1,3,2,3,3,1,0,Vegetarian,Soup/Side Dish,South India,A tangy and aromatic lentil and vegetable stew
50,Raita,Indian,"yogurt, cucumber, onions, roasted cumin powder, mint, salt",6,10,Easy,4.5,120,4,0,1,1,1,2,4,3,0,Vegetarian,Side Dish,Pan-Indian,A cooling yogurt-based side dish with vegetables and spices
51,Mysore Pak,Indian,"gram flour, sugar, ghee, cardamom powder",4,45,Medium,4.6,420,4,0,5,0,0,1,1,3,0,Vegetarian,Dessert,Karnataka,"A rich, dense, and buttery sweet made from gram flour, sugar, and ghee."
52,Payasam,Indian,"rice, milk, jaggery, cardamom, cashews, raisins",6,40,Easy,4.5,350,4,0,4,0,1,2,1,4,0,Vegetarian,Dessert,South India,"A creamy and sweet rice pudding, often prepared with jaggery."
53,Ras Malai,Indian,"chenna, milk, sugar, saffron, cardamom, pistachios",6,60,Medium,4.8,300,4,0,4,0,0,1,1,5,0,Vegetarian,Dessert,Bengal/Odisha,"Soft, spongy cheese discs soaked in a rich, saffron-flavored milk."
54,Kulfi,Indian,"milk, sugar, cardamom, saffron, pistachios, almonds",6,360,Hard,4.7,280,4,0,4,0,0,1,2,5,0,Vegetarian,Dessert,North India,"A traditional Indian frozen dessert made from slowly simmered, sweetened milk."
55,Peda,Indian,"milk solids, sugar, cardamom powder, pistachios",4,30,Medium,4.5,200,6,0,4,0,0,1,1,4,0,Vegetarian,Dessert,North India,"A dense, creamy sweet made from milk solids and sugar."
56,Sooji Halwa,Indian,"semolina, ghee, sugar, water, cardamom, nuts",6,20,Easy,4.3,250,4,0,4,0,1,2,1,2,0,Vegetarian,Dessert,Pan-Indian,"A sweet, pudding-like dessert made from semolina, ghee, and sugar."
57,Besan Laddu,Indian,"gram flour, ghee, sugar, cardamom powder",4,30,Easy,4.5,380,6,0,4,0,0,1,1,3,0,Vegetarian,Dessert,Pan-Indian,"Sweet, round balls made from roasted gram flour, ghee, and sugar."
58,Ghevar,Indian,"all-purpose flour, ghee, sugar, cardamom, saffron",5,45,Hard,4.4,450,4,0,5,0,0,1,1,2,0,Vegetarian,Dessert,Rajasthan,"A disc-shaped sweet made from flour, deep-fried and soaked in sugar syrup."
59,Jalebi with Rabri,Indian,"jalebi, thickened milk, nuts, saffron",4,45,Medium,4.7,550,4,0,5,1,0,1,1,4,0,Vegetarian,Dessert,North India,"Crispy jalebi served with a thick, sweetened milk sauce (rabri)."
60,Barfi,Indian,"milk solids, sugar, cardamom, pistachios",4,40,Medium,4.6,300,6,0,4,0,0,1,1,4,0,Vegetarian,Dessert,Pan-Indian,"A dense milk-based sweet, often flavored with cardamom or other spices."
61,Moong Dal Halwa,Indian,"moong lentils, ghee, sugar, milk, cardamom, nuts",6,60,Hard,4.7,420,4,0,4,0,1,2,1,4,0,Vegetarian,Dessert,Rajasthan,"A rich, sweet pudding made from yellow lentils, ghee, and sugar."
62,Phirni,Indian,"rice, milk, sugar, cardamom, saffron, nuts",6,45,Medium,4.6,310,4,0,4,0,1,2,1,5,0,Vegetarian,Dessert,North India,"A creamy rice pudding served in earthen bowls, often chilled."
63,Carrot Halwa,Indian,"carrots, milk, sugar, ghee, cardamom, nuts",6,60,Medium,4.5,380,4,0,4,0,1,2,1,4,0,Vegetarian,Dessert,North India,"A sweet, pudding-like dessert made from grated carrots, milk, and sugar."
64,Lassi,Indian,"yogurt, sugar, water, cardamom powder",4,5,Easy,4.5,200,2,0,4,1,0,1,4,5,0,Vegetarian,Drink,Punjab,"A refreshing, creamy yogurt-based drink, often sweet."
65,Nimbu Pani,Indian,"lemon juice, sugar, water, black salt, roasted cumin powder",5,5,Easy,4.3,80,2,0,2,4,2,1,5,0,0,Vegetarian,Drink,Pan-Indian,A simple and refreshing Indian lemonade.
66,Masala Chai,Indian,"black tea, milk, water, ginger, cardamom, cloves, cinnamon",6,10,Easy,4.8,150,2,1,2,0,0,1,2,3,1,Vegetarian,Drink,Pan-Indian,A spiced tea brewed with milk and aromatic spices.
67,Mango Lassi,Indian,"yogurt, mango pulp, sugar, cardamom powder",4,5,Easy,4.7,250,2,0,5,1,0,1,5,5,0,Vegetarian,Drink,Pan-Indian,A sweet and creamy yogurt drink blended with fresh mango.
68,Jaljeera,Indian,"cumin, ginger, black pepper, mint, lemon juice, black salt, water",7,10,Easy,4.2,50,2,1,1,3,3,1,5,0,0,Vegetarian,Drink,North India,"A tangy and spicy cumin-based drink, often served as an appetizer."
69,Samosa Chaat,Indian,"samosa, chickpeas, yogurt, tamarind chutney, mint chutney, spices",6,15,Medium,4.6,400,4,2,3,3,3,2,3,2,1,Vegetarian,Snack,North India,"Crushed samosas topped with spicy chickpeas, yogurt, and chutneys."
70,Kachori,Indian,"flour, moong dal, spices, oil",4,45,Medium,4.4,300,4,3,1,1,2,2,2,1,1,Vegetarian,Snack,Rajasthan/North India,"A round, deep-fried pastry filled with spiced lentils."
71,Bhel Puri,Indian,"puffed rice, sev, potatoes, onions, tomatoes, tamarind chutney, mint chutney",7,15,Easy,4.5,220,4,2,3,3,3,2,4,1,1,Vegetarian,Snack,Mumbai,"A crunchy and tangy street food mix of puffed rice, vegetables, and chutneys."
72,Sev Puri,Indian,"flour, potatoes, onions, tomatoes, tamarind chutney, mint chutney, sev",7,15,Easy,4.6,250,4,2,3,3,3,2,4,1,1,Vegetarian,Snack,Mumbai,"Crispy flat puris topped with potatoes, vegetables, chutneys, and fine gram flour noodles (sev)."
73,Vada Pav,Indian,"potatoes, gram flour, garlic, ginger, green chilies, bread roll",6,20,Easy,4.3,380,2,3,1,1,2,2,2,1,1,Vegetarian,Snack,Maharashtra,A spicy potato fritter (vada) served in a bread roll (pav).
74,Misal Pav,Indian,"sprouts, onions, tomatoes, spices, farsan, bread roll",6,30,Medium,4.4,450,2,4,1,2,3,2,2,1,1,Vegetarian,Breakfast/Snack,Maharashtra,A spicy sprouted lentil curry topped with crispy farsan and served with bread.
75,Dhokla Chaat,Indian,"dhokla, yogurt, tamarind chutney, mint chutney, sev",5,15,Easy,4.5,280,4,1,3,2,2,2,4,2,0,Vegetarian,Snack,Gujarat,"Steamed dhokla served with yogurt, chutneys, and crunchy toppings."
76,Frankie,Indian,"flour, potatoes, onions, spices, chutney, cheese",6,20,Easy,4.4,480,1,2,1,1,2,3,2,2,1,Vegetarian,Snack,Mumbai,A street food roll filled with a spiced potato patty or other fillings.
77,Dabeli,Indian,"potatoes, dabeli masala, onions, peanuts, pomegranate, bread roll",6,20,Medium,4.5,420,2,2,2,2,2,3,2,1,1,Vegetarian,Snack,Gujarat,A sweet and spicy potato filling stuffed in a bun with chutneys and toppings.
78,Idli Sambar,Indian,"idli, sambar",2,120,Medium,4.7,250,2,2,1,2,2,3,3,1,0,Vegetarian,Breakfast,South India,Soft steamed rice cakes served with a tangy lentil and vegetable stew.
79,Upma Pesarattu,Indian,"upma, pesarattu",2,15,Easy,4.3,280,2,1,0,1,2,2,3,1,0,Vegetarian,Breakfast,Andhra Pradesh,A savory lentil crepe filled with a semolina porridge.
80,Poori Bhaji,Indian,"poori, potato bhaji",2,30,Easy,4.5,400,2,2,1,1,2,3,2,1,1,Vegetarian,Breakfast,North India,Deep-fried fluffy bread (poori) served with a spiced potato curry.
81,Bonda,Indian,"potato, gram flour, spices, oil",4,20,Easy,4.2,200,4,2,1,1,2,2,2,1,1,Vegetarian,Snack,South India,A deep-fried snack with a spiced potato filling coated in a gram flour batter.
82,Gobi 65,Indian,"cauliflower, yogurt, ginger, garlic, red chilies, curry leaves, spices",7,30,Medium,4.3,320,4,4,1,2,2,3,2,2,0,Vegetarian,Appetizer,South India,"Spicy, deep-fried cauliflower appetizer."
83,Chicken Korma,Indian,"chicken, yogurt, cream, onions, ginger, garlic, almonds, spices",8,45,Medium,4.6,500,4,1,2,1,2,4,2,5,0,Non-Vegetarian,Dinner,North India,"A rich and mild chicken curry with a creamy, nutty gravy."
84,Fish Fry,Indian,"fish, ginger, garlic, red chili powder, turmeric, lemon juice",6,20,Easy,4.5,280,2,3,1,2,2,3,2,1,1,Non-Vegetarian,Appetizer,Coastal India,"Marinated fish pieces, deep-fried until crispy."
85,Lamb Seekh Kebab,Indian,"minced lamb, onions, ginger, garlic, mint, coriander, spices",7,30,Medium,4.7,320,4,3,0,1,2,4,2,1,4,Non-Vegetarian,Appetizer,North India,Grilled skewers of spiced minced lamb.
86,Paneer Tikka,Indian,"paneer, yogurt, lemon juice, ginger, garlic, red chili powder, turmeric, spices",8,180,Medium,4.6,280,4,2,1,2,2,3,2,2,4,Vegetarian,Appetizer,North India,Marinated and grilled cubes of cottage cheese.
87,Veg Biryani,Indian,"basmati rice, mixed vegetables, yogurt, onions, saffron, spices",9,90,Hard,4.5,450,4,2,1,1,2,4,2,2,4,Vegetarian,Lunch,Pan-Indian,Fragrant layered rice dish with mixed vegetables and aromatic spices.
88,Lemon Rice,Indian,"rice, lemon juice, mustard seeds, curry leaves, turmeric, peanuts",6,20,Easy,4.2,250,4,1,0,3,2,2,3,1,0,Vegetarian,Lunch,South India,A tangy and flavorful rice dish with a lemon tempering.
89,Tomato Rice,Indian,"rice, tomatoes, onions, ginger, garlic, red chili powder, spices",7,25,Easy,4.1,280,4,2,1,2,2,2,3,1,0,Vegetarian,Lunch,South India,A spiced rice dish with a tomato-based masala.
90,Jeera Rice,Indian,"basmati rice, cumin seeds, ghee, salt",4,20,Easy,4.3,260,4,0,0,0,2,2,2,1,1,Vegetarian,Side Dish,North India,A simple and aromatic rice dish flavored with roasted cumin seeds.
91,Palak Dal,Indian,"lentils, spinach, onions, tomatoes, garlic, ginger, spices",7,30,Easy,4.2,220,4,2,1,1,2,2,3,1,0,Vegetarian,Dinner,Pan-Indian,A nutritious curry made with lentils and spinach.
92,Methi Paratha,Indian,"flour, fenugreek leaves, ginger, garlic, green chilies, spices",6,20,Easy,4.1,250,2,1,1,1,2,2,3,1,0,Vegetarian,Breakfast,North India,A flatbread made with fresh fenugreek leaves.
93,Bajra Roti,Indian,"pearl millet flour, water",2,15,Easy,4,180,2,0,0,0,1,1,2,0,0,Vegetarian,Dinner,Rajasthan,A gluten-free flatbread made from pearl millet flour.
94,Makki Roti,Indian,"maize flour, water, salt",3,15,Easy,4.1,190,2,0,0,0,1,1,2,0,0,Vegetarian,Dinner,Punjab,"A flatbread made from maize flour, often served with sarson ka saag."
95,Sarson Ka Saag,Indian,"mustard greens, spinach, garlic, ginger, green chilies, spices",6,45,Medium,4.5,280,4,2,1,1,2,3,3,2,0,Vegetarian,Dinner,Punjab,A classic winter dish made from mustard greens and spices.
96,Tandoori Roti,Indian,"whole wheat flour, water, salt, oil",4,10,Easy,4.3,150,2,0,0,0,1,1,2,1,3,Vegetarian,Side Dish,North India,A flatbread cooked in a tandoor (clay oven).
97,Prawn Balchao,Indian,"prawns, onions, garlic, ginger, red chilies, vinegar, spices",7,30,Hard,4.6,350,4,4,1,4,2,3,2,2,1,Non-Vegetarian,Dinner,Goa,A spicy and tangy prawn pickle curry.
98,Kashmiri Gushtaba,Indian,"minced mutton, yogurt, ginger, garlic, mint, spices",6,90,Hard,4.7,520,4,1,0,2,3,4,2,5,0,Non-Vegetarian,Dinner,Kashmir,"Meatballs in a rich, creamy yogurt gravy."
99,Aloo Tikki,Indian,"potatoes, peas, spices, oil",4,30,Easy,4.5,250,4,2,1,1,2,2,2,1,1,Vegetarian,Snack,North India,"Spiced potato patties, often served with chutneys."
100,Masala Papad,Indian,"papad, onions, tomatoes, coriander, lemon juice, chaat masala",6,10,Easy,4.2,80,2,2,1,2,2,2,4,0,0,Vegetarian,Appetizer,Pan-Indian,A crispy lentil wafer topped with a spicy and tangy vegetable mix.
101,Dum Aloo,Indian,"baby potatoes, yogurt, onions, ginger, garlic, fennel powder, garam masala, red chili powder",8,45,Medium,4.4,320,4,3,1,1,2,3,2,3,2,Vegetarian,Dinner,Kashmir,Baby potatoes cooked in aromatic spiced yogurt gravy
102,Chicken Changezi,Indian,"chicken, cream, tomatoes, cashews, ginger, garlic, fenugreek leaves, spices",8,60,Hard,4.6,480,4,2,2,1,2,4,2,5,3,Non-Vegetarian,Dinner,Mughlai,Rich Mughlai chicken curry with creamy tomato gravy
103,Kosha Mangsho,Indian,"mutton, onions, ginger, garlic, bay leaves, cardamom, cinnamon, yogurt, mustard oil",9,120,Hard,4.7,550,4,3,1,1,2,5,2,2,3,Non-Vegetarian,Dinner,Bengal,Slow-cooked spicy Bengali mutton curry
104,Laal Maas,Indian,"mutton, red chilies, garlic, curd, onions, ginger, mathania chili, spices",8,90,Hard,4.5,520,4,5,0,1,2,4,1,2,3,Non-Vegetarian,Dinner,Rajasthan,Fiery red mutton curry from Rajasthan
105,Tunde Kabab,Indian,"minced meat, spices, papaya paste, rose water, kewra water, ghee",6,45,Hard,4.8,350,4,2,1,0,2,5,1,1,4,Non-Vegetarian,Appetizer,Lucknow,Melt-in-mouth minced meat kebabs from Lucknow
106,Galawati Kabab,Indian,"minced lamb, papaya, spices, rose water, mint, onions",6,60,Hard,4.7,300,4,2,1,0,2,4,2,1,3,Non-Vegetarian,Appetizer,Lucknow,Tender minced lamb kebabs that melt in mouth
107,Shami Kabab,Indian,"minced meat, chana dal, onions, ginger, garlic, mint, green chilies, spices",8,90,Medium,4.6,280,6,2,0,1,2,4,2,1,2,Non-Vegetarian,Appetizer,North India,Pan-fried patties of minced meat and lentils
108,Kakori Kabab,Indian,"minced meat, onions, ginger, garlic, mint, coriander, spices",7,45,Hard,4.7,320,4,2,0,1,2,4,2,1,4,Non-Vegetarian,Appetizer,Lucknow,"Soft, cylindrical minced meat kebabs"
109,Boti Kabab,Indian,"mutton pieces, yogurt, ginger, garlic, red chili powder, garam masala, lemon juice",7,180,Medium,4.5,380,4,3,1,2,2,4,1,1,4,Non-Vegetarian,Appetizer,North India,Marinated mutton pieces grilled on skewers
110,Reshmi Kabab,Indian,"chicken, cream, cashews, cheese, ginger, garlic, green chilies, spices",8,120,Medium,4.6,340,4,1,1,1,2,3,2,4,3,Non-Vegetarian,Appetizer,Mughlai,Silky smooth chicken kebabs with creamy texture
111,Hariyali Kabab,Indian,"chicken, mint, coriander, spinach, yogurt, ginger, garlic, green chilies",8,180,Medium,4.5,300,4,2,1,2,2,3,4,2,2,Non-Vegetarian,Appetizer,North India,Green herb-marinated chicken kebabs
112,Malai Kabab,Indian,"chicken, cream, cheese, cashews, ginger, garlic, cardamom, white pepper",8,120,Medium,4.6,360,4,1,1,1,2,3,2,5,2,Non-Vegetarian,Appetizer,Mughlai,Creamy white chicken kebabs
113,Ajwaini Fish Tikka,Indian,"fish, yogurt, carom seeds, ginger, garlic, lemon juice, red chili powder",7,60,Easy,4.4,250,4,2,1,2,2,3,2,1,3,Non-Vegetarian,Appetizer,North India,Fish tikka flavored with carom seeds
114,Amritsari Fish,Indian,"fish, gram flour, rice flour, carom seeds, red chili powder, garam masala, lemon juice",7,30,Medium,4.5,280,4,3,1,2,2,3,2,1,2,Non-Vegetarian,Appetizer,Punjab,Crispy fried fish from Amritsar
115,Koliwada Prawns,Indian,"prawns, gram flour, rice flour, ginger, garlic, red chilies, curry leaves",7,20,Medium,4.4,320,4,3,1,1,2,4,2,1,1,Non-Vegetarian,Appetizer,Maharashtra,Spicy batter-fried prawns
